Experiment,Measurement,Replication,Module,Name,Value
General,,#0,fcnetwork.node1,#status,6
General,,#0,fcnetwork.node2,#status,6
General,,#0,fcnetwork.node3,#status,6
General,,#0,fcnetwork.node4,#status,6
General,,#1,fcnetwork.node1,#status,6
General,,#1,fcnetwork.node4,#status,6
General,,#1,fcnetwork.node3,#status,6
General,,#1,fcnetwork.node2,#status,6
General,,#2,fcnetwork.node4,#status,6
General,,#2,fcnetwork.node3,#status,6
General,,#2,fcnetwork.node2,#status,6
General,,#2,fcnetwork.node1,#status,6
General,,#3,fcnetwork.node3,#status,6
General,,#3,fcnetwork.node4,#status,6
General,,#3,fcnetwork.node2,#status,6
General,,#3,fcnetwork.node1,#status,6
General,,#4,fcnetwork.node2,#status,6
General,,#4,fcnetwork.node3,#status,6
General,,#4,fcnetwork.node4,#status,6
General,,#4,fcnetwork.node1,#status,6
General,,#5,fcnetwork.node1,#status,6
General,,#5,fcnetwork.node2,#status,6
General,,#5,fcnetwork.node3,#status,6
General,,#5,fcnetwork.node4,#status,6
General,,#6,fcnetwork.node1,#status,6
General,,#6,fcnetwork.node2,#status,6
General,,#6,fcnetwork.node3,#status,7
General,,#6,fcnetwork.node4,#status,6
General,,#7,fcnetwork.node3,#status,6
General,,#7,fcnetwork.node4,#status,6
General,,#7,fcnetwork.node2,#status,7
General,,#7,fcnetwork.node1,#status,6
General,,#8,fcnetwork.node2,#status,6
General,,#8,fcnetwork.node3,#status,6
General,,#8,fcnetwork.node4,#status,6
General,,#8,fcnetwork.node1,#status,6
General,,#9,fcnetwork.node3,#status,7
General,,#9,fcnetwork.node4,#status,6
General,,#9,fcnetwork.node2,#status,6
General,,#9,fcnetwork.node1,#status,6
General,,#10,fcnetwork.node4,#status,6
General,,#10,fcnetwork.node1,#status,6
General,,#10,fcnetwork.node2,#status,6
General,,#10,fcnetwork.node3,#status,6
General,,#11,fcnetwork.node4,#status,6
General,,#11,fcnetwork.node3,#status,6
General,,#11,fcnetwork.node2,#status,6
General,,#11,fcnetwork.node1,#status,6
General,,#12,fcnetwork.node4,#status,6
General,,#12,fcnetwork.node3,#status,6
General,,#12,fcnetwork.node2,#status,6
General,,#12,fcnetwork.node1,#status,6
General,,#13,fcnetwork.node4,#status,6
General,,#13,fcnetwork.node3,#status,6
General,,#13,fcnetwork.node2,#status,6
General,,#13,fcnetwork.node1,#status,6
General,,#14,fcnetwork.node1,#status,6
General,,#14,fcnetwork.node2,#status,6
General,,#14,fcnetwork.node3,#status,6
General,,#14,fcnetwork.node4,#status,6
General,,#15,fcnetwork.node4,#status,6
General,,#15,fcnetwork.node3,#status,6
General,,#15,fcnetwork.node2,#status,6
General,,#15,fcnetwork.node1,#status,6
General,,#16,fcnetwork.node4,#status,6
General,,#16,fcnetwork.node1,#status,6
General,,#16,fcnetwork.node2,#status,6
General,,#16,fcnetwork.node3,#status,6
General,,#17,fcnetwork.node1,#status,6
General,,#17,fcnetwork.node2,#status,6
General,,#17,fcnetwork.node3,#status,6
General,,#17,fcnetwork.node4,#status,6
General,,#18,fcnetwork.node4,#status,6
General,,#18,fcnetwork.node3,#status,6
General,,#18,fcnetwork.node2,#status,6
General,,#18,fcnetwork.node1,#status,6
General,,#19,fcnetwork.node1,#status,6
General,,#19,fcnetwork.node2,#status,6
General,,#19,fcnetwork.node3,#status,6
General,,#19,fcnetwork.node4,#status,6
General,,#20,fcnetwork.node2,#status,6
General,,#20,fcnetwork.node3,#status,6
General,,#20,fcnetwork.node4,#status,6
General,,#20,fcnetwork.node1,#status,6
General,,#21,fcnetwork.node4,#status,6
General,,#21,fcnetwork.node3,#status,6
General,,#21,fcnetwork.node1,#status,6
General,,#21,fcnetwork.node2,#status,6
General,,#22,fcnetwork.node1,#status,6
General,,#22,fcnetwork.node4,#status,6
General,,#22,fcnetwork.node3,#status,6
General,,#22,fcnetwork.node2,#status,8
General,,#23,fcnetwork.node1,#status,6
General,,#23,fcnetwork.node2,#status,6
General,,#23,fcnetwork.node3,#status,6
General,,#23,fcnetwork.node4,#status,6
General,,#24,fcnetwork.node3,#status,6
General,,#24,fcnetwork.node4,#status,6
General,,#24,fcnetwork.node2,#status,6
General,,#24,fcnetwork.node1,#status,6
General,,#25,fcnetwork.node1,#status,6
General,,#25,fcnetwork.node4,#status,6
General,,#25,fcnetwork.node3,#status,6
General,,#25,fcnetwork.node2,#status,6
General,,#26,fcnetwork.node4,#status,6
General,,#26,fcnetwork.node3,#status,6
General,,#26,fcnetwork.node2,#status,6
General,,#26,fcnetwork.node1,#status,6
General,,#27,fcnetwork.node4,#status,6
General,,#27,fcnetwork.node3,#status,6
General,,#27,fcnetwork.node2,#status,6
